geneName	geneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CENPF	1063	136.905444585282	4.45950544448408	1.91203472427128	2.33233496644979	0.0196830764120792	0.0887725935813587
	101927318	12.8540866347281	4.37500512723173	1.47003680357535	2.97611945264981	0.0029192113132629	0.0215088419457875
ASCL2	430	17.9974264636713	3.70835989825971	1.08117516137775	3.42993441833617	0.000603727149375836	0.00651130538373456
PRRG3	79057	18.6743288838981	3.51823730385882	1.07285236839384	3.27933032307694	0.00104053761873443	0.00986682560429507
ZNF367	195828	56.1025726593893	3.40446584604207	0.746904449229593	4.55810090508051	5.16182381427401e-06	0.000136863095670072
BTNL9	153579	13.6359980230264	3.35399115222941	1.30385521287	2.57236472203591	0.0101006421216537	0.0541978531076143
TLR5	7100	14.1065858986578	3.29476942304938	1.14032495742195	2.88932501354544	0.00386069812974669	0.0263892468995298
PRR11	55771	108.086734906638	3.24628807729437	1.42314991871293	2.28105840053045	0.0225449913115113	0.0978965043439508
ARHGAP11B	89839	64.9971523512089	3.20655098478383	0.862958370044338	3.71576555265241	0.000202589367269923	0.00274491639565619
CDCA7	83879	715.634348064091	3.10491261143281	0.645452493336872	4.81044328356526	1.50595932625206e-06	5.01457356116785e-05
MND1	84057	70.8891871340539	3.08625012577629	0.667071024224801	4.62656900644546	3.71773035852972e-06	0.000106775524022252
HELLS	3070	91.4101235707079	3.03776681550125	0.60930134999408	4.98565580977421	6.17519912043734e-07	2.43863884777515e-05
LARGE2	120071	19.684690492772	3.00459247015273	0.965983770452268	3.11039642906836	0.0018683640498507	0.0152590917640076
NEIL3	55247	50.2780749851251	2.99690641954761	0.723820320644665	4.1404010554421	3.4669913107907e-05	0.000647088450269049
CYTIP	9595	25.7812600669546	2.93764327248183	0.887657439877367	3.30943350498777	0.00093484968903705	0.00911638948485586
TMSB15B	286527	28.8759184482601	2.8975176167554	0.815754327563339	3.55194881455338	0.000382389238293107	0.00451146102531257
DTL	51514	167.938701730154	2.8685412382013	0.443646253697374	6.46582995865447	1.00744315159961e-10	1.40316248845912e-08
KIF2C	11004	338.168007658134	2.84206589771133	1.02101140335342	2.78357899664667	0.00537627684898156	0.0335124706568134
PRIM1	5557	146.522867137654	2.82499866095267	0.489548395327468	5.7706218382413	7.89795363391892e-09	6.05338422604449e-07
MEX3A	92312	14.7100732504342	2.81877065192176	1.00457095318624	2.80594480955413	0.00501692844261893	0.0319804498608479
CHST3	9469	20.3151639928987	2.81103324312161	0.8579899128226	3.27630103933731	0.00105176388274563	0.00992966295423045
FANCA	2175	76.2386013130173	2.75125741769178	0.60358003120063	4.55823134542578	5.15861968388031e-06	0.000136863095670072
SMO	6608	15.8106454639578	2.72387429169701	1.01007051014438	2.69671697603333	0.00700267600028	0.0411801752068202
MCM10	55388	41.7141261141773	2.6807428850512	0.714357070004746	3.75266515530306	0.000174964488790548	0.0024368978745204
LCK	3932	74.5763851088397	2.65195342597798	0.559133664201946	4.74296862408226	2.10608899592024e-06	6.63751113483086e-05
EXO1	9156	106.818381089743	2.64638620947804	0.506702509769697	5.22276120298053	1.76274649633771e-07	8.58378021318136e-06
ERCC6L	54821	60.9458081155257	2.64070809682144	0.694825640425043	3.8005334621878	0.000144384918074945	0.00212550401402972
DMC1	11144	12.7900642248428	2.58892600898391	1.09548569776041	2.3632677398497	0.0181145773100513	0.0832640595802321
LTB	4050	12.6496882780925	2.50727414810558	1.00048465445123	2.50605957517742	0.0122085047634902	0.06257885326533
AURKB	9212	292.933194160494	2.50511743139026	0.770767545232866	3.25015946362066	0.00115340313374272	0.0106134746574792
E2F8	79733	77.1337738308023	2.49319578407244	0.634267416764039	3.93082746831367	8.46540059970215e-05	0.00136045079364692
ART3	419	83.5001681717578	2.47957997191378	0.438328116282543	5.65690376639097	1.54128123967166e-08	1.05074820512984e-06
SHCBP1	79801	130.683510056754	2.46892562008933	0.479223332434409	5.15193116234017	2.57817677478714e-07	1.19143272113247e-05
ASIC1	41	25.029702921771	2.46466486267117	0.810724146787413	3.04007827130558	0.0023651667298508	0.0183669092636436
WDR76	79968	198.350360709808	2.44206293170225	0.411590862909009	5.9332292132105	2.97033709802559e-09	2.61733172998132e-07
FAM72D	728833	75.0036168483865	2.43224955705069	0.666571027015592	3.64889780454528	0.000263367839476645	0.00338186133557227
TOP2A	7153	1299.94752783775	2.42712304955953	0.893942321061915	2.7150779109287	0.00662601802724296	0.0394243507151484
UHRF1	29128	64.9234132867762	2.41003236875901	0.595032283718904	4.05025480919539	5.11618921141544e-05	0.000896484681631587
HROB	78995	22.6115189368534	2.40550866556679	0.796357331744216	3.02063981792964	0.00252241218943399	0.0192419346818248
FAM72C	554282	78.235832451302	2.40005707762864	0.649710816587806	3.69403897295941	0.000220719950765568	0.00294137460797994
XRCC2	7516	27.1333983807749	2.39458349690577	0.853917913644591	2.80423148249167	0.00504366794985973	0.032119287588266
BRCA2	675	21.2953763926939	2.3891337180658	1.01613060135496	2.35120732992394	0.0187126039639169	0.0852865443858605
FAM72A	729533	80.8435065445659	2.38757348384731	0.633951596433248	3.76617630948534	0.000165766753614017	0.00234920870849274
RECQL4	9401	32.3570303234882	2.37952859431969	0.754628928488725	3.15324327558594	0.00161467182839743	0.0137688243536747
ANLN	54443	699.08020797777	2.37923537582575	0.844374677942773	2.81774837400678	0.0048361693889405	0.0311267667958305
LPL	4023	82.7074837421603	2.37035430602906	0.529636939601124	4.47543237413577	7.62568333560024e-06	0.000191425341562074
CELSR2	1952	25.3825627335853	2.34396861520498	0.807738124419124	2.9018917695517	0.00370916664049122	0.0256375856426269
PBK	55872	467.501220277201	2.34010833270377	0.860286900467249	2.72014874506724	0.00652525565489205	0.039015344155363
BIRC5	332	866.889653059905	2.3389817918852	0.662823389052864	3.52881601723118	0.000417423226021957	0.00483391192925556
BUB1B	701	179.130851924342	2.32116049891869	0.435447625936607	5.33051591204818	9.79341516704804e-08	5.1777186391336e-06
KIF4A	24137	168.248769794535	2.31850205267615	0.933116347177666	2.48468699502347	0.012966538799803	0.0653778034542033
DDIAS	220042	38.8637793873504	2.31800872113435	0.712384056760848	3.25387506799934	0.0011384233335907	0.0105186401925336
TROAP	10024	126.782622749651	2.31794400892272	0.490703910781054	4.72371211640284	2.31578175829667e-06	7.15902651914482e-05
KIF20A	10112	333.227155519991	2.31266246160365	0.865090912193073	2.67331725372178	0.0075105184606041	0.0433335169800467
IFITM2	10581	17.76419705066	2.30910256927677	0.98861954428888	2.33568371434303	0.0195077318934096	0.0881659634387071
HASPIN	83903	36.9589078096068	2.29139723104962	0.812063364148387	2.82169758200164	0.00477702009473209	0.0308304640194642
KIF15	56992	55.9825067232288	2.26946850318059	0.719257622571441	3.15529294645073	0.00160337026509701	0.0136904779458152
SOSTDC1	25928	27.5868157135798	2.26609315663569	0.810134488454861	2.79718144200689	0.00515505745511751	0.0325406721326204
STMN1	3925	1678.33149799521	2.25467071159401	0.24118074613525	9.34846892931342	8.89256138371014e-21	8.22752482879982e-18
FLNA	2316	492.986682151109	2.25227690717587	0.307713905024365	7.319386190876	2.49107742651753e-13	6.0880992274871e-11
DDX51	317781	51.1248141749033	2.24172981064417	0.743395401520477	3.01552821830634	0.00256532067379893	0.0195347434966005
NPHP1	4867	22.1182613047818	2.23114211654531	0.767609238744393	2.90661185917313	0.0036536624060355	0.025362212832464
PRPF40B	25766	33.4120627195687	2.22600135463887	0.707602781954026	3.14583465668666	0.00165613603295042	0.0140208693037953
NUP210	23225	158.309332913099	2.21948175561411	0.473751960980093	4.68490251950087	2.8009320592019e-06	8.40688610985069e-05
PLK1	5347	523.887842910786	2.21289610565072	0.789239136651046	2.80383473511037	0.00504987823998401	0.0321302037257848
CCNA2	890	779.326123949506	2.20301698327573	0.72836343140809	3.02461228595291	0.00248952041132526	0.0191025807188688
CDC45	8318	172.681433034696	2.19584099202072	0.439888071887436	4.9918175380364	5.98137472202626e-07	2.36931947322343e-05
RAD51AP1	10635	230.213647946785	2.19028278859754	0.330875905781754	6.61965029887143	3.60049600108609e-11	5.55205055977002e-09
CEP55	55165	391.971037602789	2.18656613260447	0.752833142066807	2.90444988460728	0.00367899096335415	0.0254834063894793
SPC25	57405	135.971634473583	2.1816139662974	0.505361407711024	4.31693820107628	1.58208429128677e-05	0.000342115823456386
EPHB3	2049	76.8866955081177	2.17635677257553	0.526604728250644	4.13280902320282	3.5835647539507e-05	0.000665013098251052
BUB1	699	495.865960070319	2.17429731438813	0.659225418304836	3.29826073754745	0.000972857509371751	0.00939703454056099
DLGAP5	9787	339.450961778756	2.16796005825705	0.810799867472008	2.67385349360814	0.007498520208802	0.0432835705279021
CDC25C	995	276.38321168165	2.16628532477089	0.382171157185259	5.6683642500022	1.44167225696546e-08	9.98709119277369e-07
PTTG1	9232	649.267193893206	2.16466379574446	0.384541843761128	5.62920220741731	1.81045054035643e-08	1.20260337688394e-06
NUSAP1	51203	636.446369323723	2.15264688544217	0.377964122773299	5.69537359696259	1.23102060476539e-08	9.00870615453452e-07
TCF19	6941	132.456541975447	2.1472217888661	0.484819266770057	4.42891183589141	9.47097262530625e-06	0.000229421918681626
GINS2	51659	278.045339877566	2.14638631029505	0.299947593802157	7.15587107430101	8.31432573407306e-13	1.8560734705388e-10
PIMREG	54478	114.453019028762	2.1444849886288	0.518410002914472	4.13665819828442	3.52400429616429e-05	0.000655839477704254
KIF18B	146909	56.0910760835665	2.14179809515185	0.68256889915858	3.13784893772937	0.00170192565052775	0.0143056735569669
RRM2	6241	2536.36439445979	2.12941060127643	0.653129688984875	3.26031818364598	0.00111287291880052	0.0103563309345521
CDK1	983	821.050639121124	2.11986060825674	0.717284394496434	2.95539764216532	0.00312266294749747	0.0225839492791372
CENPA	1058	103.7213849386	2.11674990461673	0.481620751015748	4.39505544591353	1.1074448314152e-05	0.00025846365587966
CDT1	81620	116.66131569973	2.10997743214642	0.506312535443428	4.1673418776774	3.08172137143854e-05	0.000588655438370805
PTK7	5754	270.666931186657	2.10429760990754	0.293166118101838	7.17783358981668	7.08246903296912e-13	1.60946002428156e-10
MCM2	4171	360.588632197114	2.09413976589384	0.321593351528395	6.51176324367806	7.42737230655761e-11	1.08097475827911e-08
FAM72B	653820	76.6075094045052	2.08145576127269	0.609357450771265	3.41582064622036	0.000635901148081278	0.00674237389291924
TSPAN4	7106	15.4790356500906	2.07826695413658	0.895287878041035	2.32133932013466	0.0202685376763496	0.0906242210982934
MT1E	4493	213.555611590558	2.07749935624704	0.327464580277892	6.34419562104713	2.23590573403441e-10	2.70669971709792e-08
NCAPH	23397	225.222420826167	2.07494630957292	0.399784794613493	5.19015814890847	2.10115543603863e-07	9.96932833809832e-06
NCAPG	64151	287.907398993153	2.07117576309377	0.82460301589591	2.51172470045297	0.0120142772668833	0.0619242164653161
PSRC1	84722	143.814440714321	2.06973078357078	0.41872014723566	4.94299306406652	7.69322219133602e-07	2.95698240487761e-05
PRC1	9055	185.853587728824	2.06633430091568	0.90456779180735	2.28433326902684	0.0223519520906032	0.097286571044887
DSCC1	79075	82.3615469223932	2.06585764963084	0.449719640911414	4.59365671787009	4.35545646767572e-06	0.00012028010542883
DEPDC1	55635	311.710864780456	2.06572016444042	0.811507209049681	2.54553519846052	0.0109110363069213	0.0574982316043743
KIF11	3832	353.692781135596	2.06351308245077	0.788703542905749	2.61633550528802	0.00888791777438253	0.0491358083361404
NRM	11270	54.9796886462079	2.06098589331948	0.599273638645207	3.43913991941779	0.000583565535118407	0.00636273095655617
PIF1	80119	28.0799404477071	2.05629765202108	0.836319468658856	2.45874660232245	0.0139422986717628	0.0691138900479694
CCNB2	9133	901.834112493484	2.05625126997954	0.257481784805802	7.98600674424564	1.39380064810565e-15	5.25574130218624e-13
SLFN13	146857	167.426887989034	2.05486044760868	0.438677320208604	4.68421856555414	2.81030007377855e-06	8.40688610985069e-05
CDC20	991	966.212311474403	2.05262247138999	0.577483811327726	3.55442426458794	0.000378807594648376	0.00448509577100586
MCM6	4175	794.403797333645	2.05107103556026	0.256703917284735	7.9900262421209	1.34910033242308e-15	5.25574130218624e-13
CYP4X1	260293	18.2970207738032	2.04864992268914	0.884421593204306	2.31637257438138	0.0205379348630048	0.0914185121238835
CDCA5	113130	289.029817123798	2.04843800196935	0.33727549013982	6.07348610217765	1.2516283639159e-09	1.21897309757914e-07
ESPL1	9700	77.9273029069948	2.04586003760874	0.616484416968872	3.31859164854128	0.000904726278693286	0.008871248666097
TPX2	22974	647.617242964259	2.03666117535082	0.742582792202399	2.74267219323836	0.00609414887292024	0.0370077404364444
RFC3	5983	298.021345206767	2.03345795787618	0.350044455525447	5.80914202689994	6.2793803719112e-09	5.05197602219663e-07
	102724814	22.3784721257682	2.03344470127394	0.800279627910154	2.54091773719652	0.0110561929410448	0.0580977148743825
CDKN3	1033	459.129419823586	2.02743290667096	0.283415102995891	7.15358103798848	8.45428354526279e-13	1.8560734705388e-10
HMMR	3161	287.271806507114	2.02624733815575	0.804897610446039	2.51739763152346	0.0118225319411363	0.0611082427109094
NRGN	4900	34.112535231172	2.02594413403019	0.650451441425692	3.11467390953831	0.00184148365726642	0.0151106674857394
GINS3	64785	79.9819339492571	2.02455705722046	0.434825356923221	4.65602344708232	3.22375236762519e-06	9.44734489091608e-05
BLM	641	35.0753802926258	2.02271384246956	0.770516507835587	2.62514017791968	0.00866133008366881	0.0482953975780293
CCNB1	891	1784.11814884465	2.02270238966666	0.584570227444461	3.46015293749943	0.000539868669948105	0.00596234518550555
PRKCQ-AS1	439949	24.596225252158	2.02269422934373	0.708819193633328	2.85361097373172	0.00432254278549077	0.0285954528602972
SGO1	151648	105.97439433464	2.02085745320382	0.481662329626567	4.19558958403617	2.72162685856478e-05	0.00053413988937863
C5orf34	375444	22.3849973632435	2.01699518431923	0.824123369836723	2.44744325684981	0.0143873777688271	0.0705870302302883
AKR1B1	231	141.462570138927	2.00862592605109	0.343335020484866	5.8503380261485	4.9057499161564e-09	4.11095922954666e-07
UBE2C	11065	337.092845976715	2.00658667247613	0.418965328236434	4.78938598791104	1.67292415392466e-06	5.45828376971944e-05
SKA3	221150	144.704227972558	1.9980883240428	0.431947341092143	4.62576831469967	3.73212307487941e-06	0.00010695174820556
GINS1	9837	292.231640178484	1.98490755352601	0.288457610041212	6.88110656273697	5.93894022726006e-12	1.09895846805285e-09
CCDC28B	79140	27.0908299522974	1.97653954110085	0.729382935460428	2.70987905667569	0.0067307746298426	0.0399375738801425
GPRC5B	51704	76.1711865975749	1.9712456997454	0.426306801475129	4.62400715382536	3.76396875505156e-06	0.000107153158866336
GINS4	84296	60.4813060271936	1.97040584963909	0.551385307274833	3.57355523196224	0.00035216691767784	0.00424731665240322
KIF23	9493	240.613136976345	1.96784763055241	0.402666268518209	4.88704364980457	1.02361405783793e-06	3.63256791539033e-05
NEK2	4751	451.643976178354	1.96442090705069	0.696456813711955	2.82059255990443	0.00479350425369582	0.0309060530602897
TICRR	90381	49.6459735358814	1.96246957617709	0.694988884557542	2.82374239327077	0.00474665187760544	0.0307109799054062
ZNF354C	30832	20.8339976121599	1.96054210817856	0.772539905798027	2.53778748963568	0.0111555701098732	0.0584775797787081
HMGB2	3148	1583.79433364995	1.95620269001244	0.655083840141876	2.98618675983332	0.00282480069265899	0.0209442721076198
SKA1	220134	117.032214443051	1.95531833074008	0.518843510015751	3.76860901793052	0.000164159786437096	0.00233153696679792
TTK	7272	271.123194501954	1.95488669321393	0.388942796990619	5.02615476707512	5.004120882999e-07	2.06082905342367e-05
RAD54L	8438	77.4731091333342	1.94800684098994	0.513754137553314	3.79171027267453	0.000149613396150335	0.0021848278696001
HS6ST2	90161	32.2883025325864	1.94513137499223	0.636712529421134	3.0549601038331	0.00225090462492817	0.0177239924660757
POLD1	5424	72.0280539660538	1.941635230349	0.5593615367103	3.47116328692904	0.000518208780124794	0.00578651580082454
CAD	790	193.060782781346	1.93600158588752	0.324296773641389	5.96984534921206	2.37478580550904e-09	2.15813525470448e-07
FOXM1	2305	215.378502793805	1.93430531088122	0.35166026095553	5.50049444206556	3.78727691672361e-08	2.26067271439267e-06
ZNF239	8187	31.0828295941122	1.93230002540998	0.638416919300998	3.02670553832698	0.00247234672229493	0.0190055234978554
CHTF18	63922	40.9024801039528	1.93073131594798	0.701028913657428	2.75413934908179	0.00588467068317057	0.036073894632801
FAM216A	29902	31.0947370371069	1.91887129823893	0.684639968842157	2.80274507122929	0.00506697034065558	0.0321898679869892
DNAH2	146754	35.40021794399	1.91468403694316	0.614935002234038	3.11363644935997	0.0018479703880057	0.0151306955978747
ASF1B	55723	228.989366041209	1.91300278092009	0.369600216765034	5.17587028942745	2.26851026330358e-07	1.06850957965714e-05
DIAPH3	81624	129.673028994865	1.91057005883201	0.479891189826802	3.9812567918189	6.8551840206636e-05	0.00113863572922396
MYBL2	4605	317.960544566004	1.91030123035279	0.335678970472578	5.69085763002496	1.26402869578592e-08	9.09609094250832e-07
CDC7	8317	111.623055281359	1.90595075725501	0.404593767812583	4.7107763610879	2.46774915151142e-06	7.53885725460553e-05
ORC1	4998	139.473655510343	1.90518183868106	0.413067365032902	4.61227877087146	3.9827834639796e-06	0.000111906711949952
HJURP	55355	194.889565953288	1.90471612871449	0.458382894149925	4.15529495760701	3.2486817150949e-05	0.000613413618886651
GPRIN3	285513	166.388937454902	1.90058868909756	0.460535438026598	4.12691083500895	3.67668867460489e-05	0.000677441655791709
FAM111B	374393	68.9665638329656	1.89964498708366	0.604628262427736	3.14183954857833	0.00167890013013918	0.0141488571149595
MCM7	4176	1321.39737530191	1.89262896758641	0.298824565053505	6.33357892530534	2.39538684416328e-10	2.84655465985752e-08
LSAMP	4045	99.1146108991406	1.8903401270121	0.420763646546615	4.49264127860599	7.03452211295794e-06	0.000178663068488518
GLS2	27165	34.1791319796427	1.88565797112608	0.644422203284706	2.92612197642265	0.00343216339609599	0.02407386033448
CEP131	22994	30.432300126759	1.88387445710887	0.756533188432504	2.49014119395364	0.0127692355912589	0.0647293057410196
CDCA7L	55536	335.375239088037	1.88115600931679	0.268722245211295	7.0003732211959	2.55281544451416e-12	5.0871720696603e-10
DNM1	1759	34.0476734281391	1.87844949487336	0.783638233590031	2.39708760286969	0.0165259721434202	0.0782648761099898
CD70	970	213.205620323703	1.87830934463335	0.348088716979975	5.39606500586863	6.81182755673717e-08	3.73871196366172e-06
GAS2L3	283431	50.5100137146931	1.87361749310157	0.633921747666594	2.9555974376935	0.00312064108262354	0.0225839492791372
DNA2	1763	139.08388655928	1.87333206115511	0.39550559908572	4.73655003996313	2.17387083782871e-06	6.81795374392139e-05
CNTNAP2	26047	49.7947085119274	1.87057231556009	0.608051484649652	3.07633870286145	0.00209559649278289	0.0167453802412195
MAD2L1	4085	693.672068165183	1.86428321987088	0.276363577072579	6.74576309808468	1.52224821749859e-11	2.59443173174464e-09
FABP5	2171	608.094133146397	1.86406079801437	0.228799353861705	8.14714188022175	3.7262639647594e-16	1.60887657118428e-13
FANCI	55215	431.909267846132	1.86220444527149	0.297309033410947	6.26353132936095	3.76355498008825e-10	4.31409979266222e-08
CDCA2	157313	189.096263434291	1.85688759382518	0.404266154445043	4.59323040874947	4.36436729341079e-06	0.00012028010542883
ZNF331	55422	24.1925423599743	1.85456407752747	0.809526954838218	2.29092319464285	0.0219678562202875	0.0960826174385637
FAM83D	81610	222.303236013995	1.8545095503088	0.354227851957716	5.23535780729679	1.64665552945176e-07	8.10993500874095e-06
PDX1	3651	41.8857747432552	1.85436788147919	0.625739442363915	2.9634824911688	0.0030417936598267	0.0221754319034996
PFAS	5198	185.737086629685	1.85153290879358	0.369927923339399	5.0051180026625	5.58278205005056e-07	2.23881659115495e-05
AADAT	51166	40.0787853926324	1.84298557095957	0.632020212540367	2.91602314987966	0.0035452419460009	0.024688988670188
SLC43A1	8501	147.599327906665	1.84207117829222	0.449356558167641	4.09935305229261	4.14306623762208e-05	0.000747971443151512
VPS9D1-AS1	100128881	25.5050616723028	1.83795992129264	0.792279754084963	2.31983704217632	0.0203496944028685	0.0907990325871017
