pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_E2F_TARGETS	1e-10	7.38762705204937e-10	NA	0.785201661021144	3.09703200405011	200	MKI67, HELLS, KIF2C, AURKB, E2F8, TOP2A, BRCA2, BIRC5, BUB1B, KIF4A, STMN1, PLK1, RAD51AP1, SPC25, DLGAP5, PTTG1, TCF19, KIF18B, RRM2, CDK1, MCM2, DSCC1, DEPDC1, CCNB2, CDC20, MCM6, ESPL1, RFC3, CDKN3, HMMR, GINS3, GINS1, GINS4, HMGB2, POLD1, ASF1B, DIAPH3, MYBL2, MCM7, MAD2L1, RNASEH2A, SPAG5, MCM5, TRIP13, BRCA1, DNMT1, TACC3, CDK4, MCM4, CIT, PLK4, SPC24, LMNB1, MCM3, POLA2, SUV39H1, UBE2T, PRKDC, ORC6, TIMELESS, RAD51C, LIG1, TIPIN, RACGAP1, H2AX, CKS2, PSIP1, KIF22, NME1, CTPS1, MELK, NOLC1, KPNA2, UBE2S, PRPS1, NAP1L1, PCNA, PAICS, NCAPD2, TK1, DUT, CDKN2C, MMS22L, LYAR, TP53, RANBP1, CENPM, MSH2, NASP, PSMC3IP, SSRP1, CCNE1, BARD1, CDCA8, ILF3, CHEK2, DDX39A, NOP56, POLD2, HMGA1, NUP107, ANP32E, DCLRE1B, H2AZ1, CCP110, TUBB, DONSON, CENPE, HNRNPD, AURKA, EZH2, WDR90, SMC4, CSE1L, MRE11, UNG, SMC1A, SHMT1, MYC, TMPO, HMGB3, DCTPP1, ATAD2, CDC25A, CBX5
HALLMARK_G2M_CHECKPOINT	1e-10	7.38762705204937e-10	NA	0.763476960169235	3.0033386108761	196	CENPF, MKI67, KIF2C, EXO1, AURKB, TOP2A, BRCA2, PBK, BIRC5, KIF4A, TROAP, KIF15, STMN1, PLK1, CCNA2, CDC45, BUB1, PTTG1, NUSAP1, GINS2, CDK1, CENPA, MCM2, PRC1, KIF11, CCNB2, CDC20, MCM6, ESPL1, TPX2, CDKN3, HMMR, UBE2C, KIF23, NEK2, TTK, RAD54L, MYBL2, CDC7, MAD2L1, NDC80, MCM5, SMC2, FBXO5, TACC3, CDK4, PLK4, LMNB1, MCM3, POLA2, SUV39H1, POLQ, MAP3K20, ORC6, TRAIP, CCNF, MT2A, RACGAP1, H2AX, CKS2, KIF20B, KIF22, DTYMK, NOLC1, KPNA2, UBE2S, INCENP, DKC1, ODF2, CDKN2C, HMGN2, E2F1, NASP, NSD2, SAP30, STIL, DBF4, BARD1, CDC6, SLC12A2, ILF3, DDX39A, MNAT1, HMGA1, H2AZ1, NCL, CENPE, HNRNPD, AURKA, EZH2, SMC4, NOTCH2, SNRPD1, SMC1A, SMARCC1, CHAF1A, MYC, TMPO, HMGB3, HIRA, CDC25A, ODC1
HALLMARK_HYPOXIA	1.03426778728691e-10	7.38762705204937e-10	0.839088935621274	-0.474439676767741	-2.20465229523886	165	EDN2, AKAP12, PIM1, ATF3, IGFBP1, PDGFB, ADM, ALDOB, DUSP1, ISG20, MAFF, PLAC8, IGFBP3, PKLR, SRPX, CCNG2, CDKN1A, AMPD3, ERRFI1, KLF6, TMEM45A, RRAGD, ETS1, ERO1A, LXN, GLRX, PPARGC1A, IER3, ANGPTL4, TGM2, UGP2, PLAUR, PPP1R15A, CXCR4, CHST2, TNFAIP3, MXI1, IDS, CCN2, SLC2A1, S100A4, STBD1, HK2, BHLHE40, F3, HSPA5, SULT2B1, NR3C1, NFIL3, DDIT3, PCK1, HS3ST1, CDKN1C, TIPARP, LARGE1, CA12, PAM, CCN1, EFNA1, EXT1, VEGFA, KLF7, PGK1, WSB1, PFKP, JUN, TES, KDELR3, ALDOA, HMOX1, ALDOC, KLHL24, P4HA1, PDK1, CITED2, NDST1, LDHA
HALLMARK_MITOTIC_SPINDLE	1e-10	7.38762705204937e-10	NA	0.581946694301439	2.28924128382316	196	CENPF, KIF2C, TOP2A, BRCA2, ANLN, BIRC5, KIF4A, KIF15, FLNA, PLK1, BUB1, DLGAP5, NUSAP1, CDK1, PRC1, KIF11, PIF1, CCNB2, ESPL1, TPX2, KIF23, NEK2, TTK, CEP131, NDC80, ARAP3, FBXO5, LMNB1, RACGAP1, KIF20B, KIF22, KNTC1, INCENP, CKAP5, GEMIN4, CDK5RAP2, TIAM1, DOCK4, FSCN1, TBCD, KIF3C, SASS6, CENPE, CDC42EP1, AURKA, SMC4, NOTCH2, TUBD1, PCNT
HALLMARK_MYC_TARGETS_V1	1e-10	7.38762705204937e-10	NA	0.63341695641942	2.49133684224379	198	CCNA2, CDC45, MCM2, CDC20, MCM6, CAD, MCM7, MAD2L1, TYMS, MCM5, CDK4, MCM4, RFC4, FBL, NME1, CTPS1, IMPDH2, NOLC1, KPNA2, NAP1L1, PCNA, DUT, RRM1, RANBP1, SRM, CDK2, ABCE1, TRIM28, PRPS2, HSPD1, NOP56, NPM1, POLD2, RUVBL2, HNRNPA1, APEX1, RSL1D1, H2AZ1, C1QBP, RPS10, RPS2, HNRNPD, NOP16, RPS3, SNRPD1, IARS1, SMARCC1, PABPC1, CCT2, SNRPA, POLE3, GNL3, NHP2, MYC, ODC1, EXOSC7, RPS5, RPL6, SNRPD2, PABPC4, PA2G4, RPL14, SF3B3, RRP9, EEF1B2, HNRNPU, RAN, SYNCRIP, TFDP1, RPLP0, PHB2, DDX21, HSP90AB1, RPS6, CCT3, RPL22, CCT4, SRSF3, LSM2, RACK1, RPL34, MRPL9, HNRNPA3, DDX18, HNRNPC, ILF2, EIF3B, PRDX4, SSB, RPL18, PWP1, CCT7, G3BP1, HSPE1, ERH, RNPS1, SRSF7, GOT2, CLNS1A, NCBP1, LSM7, KPNB1, SF3A1, SERBP1, EIF3D, ORC2, SET, HNRNPA2B1, PPM1G, XPOT
HALLMARK_MYC_TARGETS_V2	1e-10	7.38762705204937e-10	NA	0.754076202834834	2.50360518031305	57	, PLK1, MCM5, CDK4, MCM4, PLK4, PPRC1, MYBBP1A, MRTO4, NOLC1, PUS1, IPO4, BYSL, PPAN, TCOF1, SRM, RRP12, EXOSC5, UTP20, PRMT3, HSPD1, RCL1, NOP56, NPM1, SLC19A1, NDUFAF4, NOP16, WDR43, UNG, GNL3, MYC, DCTPP1, WDR74, TFB2M, PA2G4, LAS1L, IMP4, RRP9, NOC4L, PES1, SORD, DDX18, FARSA, MPHOSPH10, RABEPK, GRWD1, HSPE1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1e-10	7.38762705204937e-10	NA	-0.516124510319958	-2.40606511600737	158	AREG, IL1A, DUSP5, EDN1, ATF3, BIRC3, CCL20, SGK1, DUSP1, MXD1, MAFF, NR4A1, HBEGF, CDKN1A, RNF19B, KLF6, KLF4, IFNGR2, BMP2, IER3, DNAJB4, RCAN1, SLC2A6, PLAUR, SERPINB8, PPP1R15A, TNFAIP3, MCL1, PTPRE, CLCF1, CFLAR, GADD45B, JUNB, RHOB, SPSB1, LITAF, SAT1, RELB, TANK, BHLHE40, IRF1, F3, GCH1, TNIP1, NFIL3, TUBB2A, ATP2B1, CCRL2, EHD1, TIPARP, DDX58, SOCS3, NFKBIE, CCN1, ICAM1, EFNA1, PDLIM5, TSC22D1, IL1B, PHLDA2, VEGFA, B4GALT5, CXCL1, NFKBIA, KLF10, B4GALT1, JUN, IER2, IER5, G0S2, IL6ST, KLF9, HES1, F2RL1, BIRC2, TRIB1, TNIP2
HALLMARK_SPERMATOGENESIS	7.42240886702942e-09	4.63900554189338e-08	0.761460801445585	0.656622650008144	2.26602430576514	70	, KIF2C, DMC1, ART3, NPHP1, BUB1, CDK1, NCAPH, CCNB2, CDKN3, NEK2, TTK, RFC4, RPL39L, HSPA4L, DBF4, SLC12A2, AURKA, EZH2, HSPA1L, ZC2HC1C, CFTR, TOPBP1, PSMG1, GSTM3
HALLMARK_KRAS_SIGNALING_UP	7.26595647591194e-07	4.03664248661774e-06	0.659444398037935	-0.443447753688972	-1.99045696694897	132	F13A1, EREG, AKAP12, EMP1, ALDH1A2, BIRC3, CCL20, CA2, HDAC9, IGFBP3, PRDM1, HBEGF, PRKG2, WNT7A, ABCB1, ALDH1A3, NR1H4, TSPAN7, KLF4, ETS1, HKDC1, ERO1A, GLRX, BMP2, ANGPTL4, TSPAN1, PLAUR, MALL, PPP1R15A, CTSS, CXCR4, TNFAIP3, DUSP6, PTPRR, ADAM8, CROT, CPE, USP12, CAB39L, TMEM176B, TMEM176A, STRN, SEMA3B, ITGB2, IL2RG, FUCA1, TFPI, IL1B
HALLMARK_COMPLEMENT	9.35969593642074e-07	4.67984796821037e-06	0.659444398037935	-0.441271317007691	-1.98256318652344	127	PHEX, DUSP5, PIM1, CASP5, CA2, PCLO, PDGFB, MAFF, CTSO, CASP7, CDA, CPM, LGALS3, CBLB, PPP2CB, SIRT6, PRSS36, CD55, PLAUR, C4BPB, JAK2, SPOCK2, CTSS, TNFAIP3, DUSP6, PDP1, CD59, DYRK2, IRF1, C3, TIMP2, PRSS3, F3, GPD2, CALM1, HSPA5, EHD1, KLK1, PRKCD, PSEN1, CXCL1, AKAP10, PLSCR1, CASP10, SRC, GMFB, GRB2, RABIF, IRF2, PIK3CA, CTSD, CEBPB, ME1, MMP15, CD46, FDX1, HSPA1A, CALM3, STX4, RAF1, USP15, XPNPEP1, IRF7, RHOG
HALLMARK_INTERFERON_GAMMA_RESPONSE	4.03351563302326e-06	1.83341619682876e-05	0.610526878385931	-0.397922258270705	-1.83884600589958	151	RSAD2, ST3GAL5, PIM1, STAT4, IFIT1, IFI44, OASL, ISG20, IL15, IL7, IFI27, UPP1, CDKN1A, HLA-DRB1, CASP7, SPPL2A, PARP12, DDX60, MX1, EIF4E3, VAMP5, SSPN, JAK2, SRI, TNFAIP3, TDRD7, HERC6, ISG15, B2M, VAMP8, SAMD9L, MVP, IRF1, GCH1, TNFSF10, ARL4A, EIF2AK2, MYD88, DDX58, IFI35, HELZ2, SOCS3, IFNAR2, ICAM1, RIPK1, NFKBIA, TXNIP, LATS2, PFKP, PLSCR1, IRF5, BATF2, IRF2, TRIM25, RBCK1, SLC25A28, SECTM1, TRIM21, HLA-G, USP18, NCOA3, CMPK2, APOL6, EPSTI1, TRAFD1, FGL2, OAS2
HALLMARK_HEME_METABOLISM	1.17632090642612e-05	4.90133711010883e-05	0.593325476396405	-0.387357970943674	-1.80766196232254	161	CA1, ABCG2, SLC22A4, CA2, SLC30A10, MPP1, KAT2B, SMOX, PPP2R5B, ALDH1L1, CCND3, OPTN, RIOK3, CROCCP2, NUDT4, BACH1, SLC11A2, ATG4A, RNF19A, MXI1, SLC6A8, AGPAT4, NEK7, SLC2A1, MBOAT2, PC, ELL2, CDR2, KDM7A, C3, PICALM, LPIN2, SLC7A11, NR3C1, HTATIP2, GCLM, MARCHF2, SLC6A9, MOCOS, SDCBP, SYNJ1, ACP5, NFE2L1, IGSF3, MGST3, YPEL5, KLF3, ALAD, DCAF11, TMEM9B, TFRC, ATP6V0A1, ENDOD1, GCLC, SLC30A1, HAGH, LRP10, BMP2K, P4HA2, MAP2K3, BNIP3L, BLVRA, HEBP1, USP15, ADIPOR1, CTSE, SELENBP1, MKRN1, PDZK1IP1, SLC10A3, FBXO34, NCOA4, DCUN1D1, FOXO3, EZH1
HALLMARK_XENOBIOTIC_METABOLISM	1.3451691927654e-05	5.1737276644823e-05	0.593325476396405	-0.383927736833268	-1.75925844114685	150	CYP1A1, TAT, GCKR, IGFBP1, CA2, XDH, CYP2C18, ALDH3A1, VNN1, SLC46A3, UPP1, CYP27A1, ABCC2, CDA, SMOX, PINK1, SLC35D1, ENTPD5, LEAP2, ALAS1, HSD17B2, AKR1C2, PAPSS2, PTGES, CROT, GABARAPL1, FABP1, PC, DDAH2, SPINT2, TMEM176B, LPIN2, GCH1, PTS, ETFDH, DHRS1, NPC1, SERTAD1, AKR1C3, ALDH2, HES6, ASL, PDLIM5, CBR1, SAR1B, DHRS7, TNFRSF1A, UGDH, EPHA2, NQO1, HMOX1, PDK4, SLC35B1, MAOA, GCLC
HALLMARK_INFLAMMATORY_RESPONSE	1.63039630149413e-05	5.82284393390762e-05	0.575610261071129	-0.410662259374025	-1.81418159554168	117	EREG, IL1A, EDN1, CCL20, ADM, CXCL8, MXD1, IL15, HBEGF, CDKN1A, P2RX4, IL18R1, BDKRB1, KLF6, MEP1A, CD55, AXL, IFNGR2, PLAUR, P2RY2, KCNJ2, SRI, CHST2, SLC11A2, PTPRE, CYBB, TNFSF15, TLR3, SELENOS, SLC31A2, IRF1, F3, GCH1, TNFSF10, EIF2AK2, ATP2B1, CCRL2, ACVR2A, IRAK2, ICAM1, ABI1, IL1B, PSEN1, NFKBIA, SGMS2
HALLMARK_DNA_REPAIR	2.31513613064603e-05	7.71712043548677e-05	0.575610261071129	0.469501366103701	1.78811460674081	147	, PRIM1, RFC3, POLD1, TYMS, FEN1, POLA2, RFC4, ZWINT, LIG1, POLA1, RAD51, NME1, IMPDH2, PCNA, RFC5, DUT, TP53, ADA, SSRP1, CCNO, SF3A3, ERCC2, ERCC8, GTF2A2, NME4, POLR1C, ALYREF, POM121, BCAM, NUDT21, UMPS, TAF6, POLR3C, AAAS, POLR2I, RFC2, POLR2G, DGCR8, POLR1D, NELFCD, MRPL40, TAF9, POLR2D, XPC, TARBP2, POLR2A, SRSF6, RPA3, GTF2H3, RAE1, RPA2, SMAD5, CSTF3, DDB2, POLD3, SAC3D1, HPRT1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000237018114583547	0.000740681608073583	0.518848077743792	-0.40088230165914	-1.7525749369537	107	LUM, AREG, VIM, ANPEP, MMP1, MGP, CXCL8, PMP22, THBS1, IL15, IGFBP3, COL16A1, DST, GREM1, PDLIM4, IL32, COL5A3, DKK1, TGM2, PLAUR, TNFAIP3, SERPINE2, CD59, GADD45B, SLC6A8, TNFRSF11B, CCN2, RHOB, PLOD2, SAT1, DAB2, ITGAV, FUCA1, CCN1, VEGFA, NT5E, CXCL1, MYLK, TPM1, ITGB1, JUN, FGF2, LAMC2, CAPG, PVR, LGALS1
HALLMARK_NOTCH_SIGNALING	0.000625475858643295	0.00183963487836263	0.477270815362862	0.657103693779255	1.90571867446763	27	, NOTCH1, DLL1, LFNG, SAP30, KAT2A, NOTCH2
